tema;pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta;justificacion;
Música;¿Quién compuso Las cuatro estaciones?;Mozart;Vivaldi;Bach;Haydn;B;Antonio Vivaldi compuso la obra.;
Música;¿Qué cantante es conocida como la Reina del Pop?;Madonna;Cher;Beyoncé;Adele;A;Madonna recibió este apodo por su influencia en la música.;
Música;¿Cuántos semitonos hay en una octava?;8;10;12;14;C;Una octava en el sistema occidental contiene 12 semitonos.;
Música;¿Qué premios reconocen el cine en España?;Grammy;Goya;Billboard;Emmy;B;Los Premios Goya distinguen al cine español.;
Música;¿Quién compuso Carmen?;Bizet;Verdi;Puccini;Mozart;A;Georges Bizet compuso Carmen.;
Música;¿Qué instrumento tocaba principalmente Louis Armstrong?;Piano;Saxofón;Trompeta;Batería;C;Louis Armstrong fue un célebre trompetista.;
Música;¿Qué instrumento es característico del vallenato?;Bandoneón;Acordeón;Violín;Tiple;B;El acordeón es el instrumento principal del vallenato.;
Naturaleza;¿Cuál es el mamífero terrestre más grande?;Elefante africano;Jirafa;Hipopótamo;Rinoceronte;A;El elefante africano es el mamífero terrestre de mayor tamaño.;
Naturaleza;¿Cuál es el animal más grande del planeta?;Tiburón ballena;Cachalote;Ballena azul;Orca;C;La ballena azul es el animal más grande conocido.;
Naturaleza;¿Qué proceso utilizan las plantas para producir su alimento?;Respiración;Fotosíntesis;Fermentación;Germinación;B;La fotosíntesis convierte luz en energía química.;
Naturaleza;¿Cuál es el ave más grande del mundo?;Cóndor;Avestruz;Águila real;Casuario;B;El avestruz es el ave de mayor tamaño.;
Naturaleza;¿Qué gas producen principalmente las plantas durante la fotosíntesis?;Nitrógeno;Dióxido de carbono;Oxígeno;Metano;C;Las plantas liberan oxígeno como subproducto.;
Naturaleza;¿Cómo se llama la roca fundida que sale de un volcán?;Granito;Magma;Lava;Basalto;C;Cuando el magma sale al exterior se denomina lava.;
Naturaleza;¿Cuál es el felino más grande del mundo?;León;Tigre;Jaguar;Leopardo;B;El tigre siberiano es el felino más grande.;
Naturaleza;¿Qué bosque tropical es el más grande del mundo?;Congo;Amazonas;Borneo;Daintree;B;La Amazonía es el bosque tropical más extenso.;
Naturaleza;¿Qué instrumento mide la presión atmosférica?;Termómetro;Higrómetro;Barómetro;Anemómetro;C;El barómetro mide la presión del aire.;
Naturaleza;¿Qué porcentaje aproximado de la superficie terrestre está cubierta por agua?;50%;60%;71%;85%;C;Aproximadamente el 71 % de la superficie terrestre está cubierta por agua.;
Naturaleza;¿Cuál es el mamífero más rápido del mundo?;León;Guepardo;Antílope;Delfín;B;Aunque el guepardo es un felino; también es un mamífero.
Naturaleza;¿Qué ave es símbolo nacional de Estados Unidos?;Águila calva;Halcón;Pelícano;Cóndor;A;El águila calva es el símbolo nacional estadounidense.;
Naturaleza;¿Qué océano separa América de Europa?;Pacífico;Atlántico;Índico;Ártico;B;El océano Atlántico se encuentra entre ambos continentes.;
Naturaleza;¿Qué parte de la planta absorbe principalmente agua y minerales?;Hojas;Tallo;Raíz;Flor;C;Las raíces absorben agua y nutrientes.;
Naturaleza;¿Qué término describe la variedad de seres vivos de un ecosistema?;Biomasa;Biodiversidad;Hábitat;Evolución;B;La biodiversidad mide la variedad biológica.;
Naturaleza;¿Qué capa de la Tierra es la más externa?;Manto;Núcleo;Corteza;Astenosfera;C;La corteza es la capa superficial.;
Naturaleza;¿Qué instrumento mide la temperatura?;Barómetro;Higrómetro;Termómetro;Pluviómetro;C;El termómetro mide la temperatura.;
Naturaleza;¿Cuál es el único mamífero capaz de volar de forma sostenida?;Ardilla voladora;Murciélago;Colugo;Petauro;B;Los murciélagos son los únicos mamíferos con vuelo activo.;
Naturaleza;¿Qué reino incluye a los hongos?;Vegetal;Fungi;Animal;Protista;B;Los hongos pertenecen al reino Fungi.;
Naturaleza;¿Qué significa que una especie sea endémica?;Que vive en el mar;Que solo existe de forma natural en una región;Que está extinta;Que migra cada año;B;Una especie endémica tiene distribución natural limitada.;
Salud;¿Cuántos huesos tiene aproximadamente un adulto?;198;206;212;220;B;El cuerpo humano adulto posee alrededor de 206 huesos.;
Salud;¿Qué vitamina se produce principalmente con la exposición al sol?;Vitamina A;Vitamina C;Vitamina D;Vitamina K;C;La piel sintetiza vitamina D con la luz solar.;
Salud;¿Cuál es el número de compresiones recomendado antes de dos ventilaciones en RCP para un adulto?;15;20;30;40;C;La secuencia habitual es 30:2 cuando corresponde.;
Salud;¿Qué órgano bombea la sangre por el cuerpo?;Pulmón;Cerebro;Corazón;Hígado;C;El corazón impulsa la sangre mediante sus contracciones.;
Salud;¿Cuál es la principal bebida recomendada para mantenerse hidratado?;Jugo;Gaseosa;Agua;Té;C;El agua es la mejor opción para la hidratación.;
Salud;¿Cuál es la medida más efectiva para prevenir muchas enfermedades infecciosas?;Dormir más;Lavarse las manos;Hacer ejercicio;Tomar café;B;El lavado de manos reduce significativamente el contagio.;
Salud;¿Qué órgano realiza el intercambio de oxígeno y dióxido de carbono?;Riñón;Pulmón;Hígado;Páncreas;B;Los pulmones permiten el intercambio gaseoso.;
Salud;¿Cuál es el objetivo principal de una vacuna?;Curar una fractura;Estimular el sistema inmunitario;Aumentar la fuerza muscular;Reducir el sueño;B;Las vacunas preparan al sistema inmunitario para reconocer patógenos.;
Salud;¿Qué nutriente es la principal fuente inmediata de energía para el cuerpo?;Proteínas;Grasas;Carbohidratos;Vitaminas;C;Los carbohidratos son la fuente principal de energía.;
Salud;¿Cuántas horas de sueño suelen recomendarse para la mayoría de los adultos?;4-may;5-jun;7-sep;10-dic;C;La mayoría de las guías recomiendan entre siete y nueve horas.;
Salud;¿Cuál es el hueso más largo del cuerpo humano?;Húmero;Tibia;Fémur;Radio;C;El fémur es el hueso más largo y resistente.;
Salud;¿Qué nutriente ayuda principalmente a formar y reparar tejidos?;Carbohidratos;Proteínas;Vitaminas;Agua;B;Las proteínas son fundamentales para el crecimiento y reparación.;
Salud;¿Qué componente de la sangre transporta oxígeno?;Plaquetas;Glóbulos rojos;Plasma;Glóbulos blancos;B;La hemoglobina de los glóbulos rojos transporta oxígeno.;
Salud;¿Qué enfermedad se caracteriza por niveles elevados de glucosa en sangre?;Hipertensión;Diabetes;Anemia;Asma;B;La diabetes afecta el metabolismo de la glucosa.;
Salud;¿Qué se debe hacer primero ante una quemadura leve?;Aplicar hielo directamente;Enfriar con agua corriente;Romper las ampollas;Cubrir con algodón;B;Se recomienda enfriar con agua durante varios minutos.;
Salud;¿Qué hábito reduce el riesgo de enfermedades cardiovasculares?;Fumar;Hacer actividad física regularmente;Dormir menos de cinco horas;Consumir exceso de sal;B;El ejercicio beneficia al sistema cardiovascular.;
Salud;¿Qué órgano produce la bilis?;Riñón;Hígado;Páncreas;Estómago;B;La bilis es producida por el hígado.;
Salud;¿Qué gas expulsamos principalmente al exhalar?;Oxígeno;Dióxido de carbono;Hidrógeno;Nitrógeno;B;La respiración elimina principalmente CO?.;
Salud;¿Qué microorganismo se utiliza para elaborar yogur?;Virus;Levaduras;Bacterias;Protozoos;C;El yogur se produce mediante bacterias lácticas.;
Salud;¿Cuál de estos hábitos favorece el bienestar mental?;Dormir adecuadamente;Consumir exceso de azúcar;Evitar toda actividad física;Permanecer despierto toda la noche;A;El descanso adecuado favorece la salud mental.;
Videojuegos;¿Qué empresa creó la consola PlayStation?;Nintendo;Sega;Sony;Microsoft;C;PlayStation fue lanzada por Sony.;
Videojuegos;¿Cuál es el personaje principal de la saga The Legend of Zelda?;Mario;Link;Zelda;Ganondorf;B;El héroe jugable es Link.;
Videojuegos;¿Cuál es el material más resistente para fabricar herramientas en Minecraft (sin modificaciones)?;Hierro;Oro;Diamante;Piedra;C;Durante años el diamante fue el material estándar más resistente.;
Videojuegos;¿De qué tipo es Pikachu?;Agua;Fuego;Eléctrico;Planta;C;Pikachu es un Pokémon de tipo eléctrico.;
Videojuegos;¿Qué empresa desarrolla la consola Xbox?;Sony;Microsoft;Valve;Nintendo;B;Xbox pertenece a Microsoft.;
Videojuegos;¿Qué personaje amarillo come puntos en un laberinto?;Sonic;Pac-Man;Mega Man;Kirby;B;Pac-Man debutó en 1980.;
Videojuegos;¿Cómo se llama la princesa que suele ser rescatada por Mario?;Daisy;Rosalina;Peach;Pauline;C;La Princesa Peach aparece en numerosos juegos de Mario.;
Videojuegos;¿Qué videojuego popularizó el género MOBA junto con Dota?;Fortnite;League of Legends;Valorant;Overwatch;B;League of Legends es uno de los MOBA más exitosos.;
Videojuegos;¿En qué década apareció la consola NES?;1970;1980;1990;2000;B;La Nintendo Entertainment System fue lanzada en los años ochenta.;
Videojuegos;¿Qué videojuego independiente consiste en administrar una granja heredada?;Hades;Celeste;Stardew Valley;Hollow Knight;C;Stardew Valley gira alrededor de una granja y la vida del pueblo.;
